,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1050.0,15882.0,1400.0,2100.0,18450.0,5569.0,718628.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,15882.0,5569.0,3850.0,30.0,100
mean,10.5,158.82,14.0,21.0,184.5,55.69,7186.28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,158.82,55.69,38.5,0.3,100
std,6.9084927970775745,140.96044147421665,9.211323729436765,13.816985594155149,283.24820468018055,64.21864404068528,4255.076253230732,4.605661864718383,0.0,0.0,0.0,0.0,0.0,0.0,140.96044147421665,64.21864404068528,25.331140255951105,0.4605661864718382,100
