,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,122.0,54970.0,3820.0,6540.0,104550.0,39140.0,400682.0,2341131.0,2180.0,0.0,0.0,0.0,0.0,0.0,54970.0,439822.0,8842.0,500
mean,0.244,109.94,7.64,13.08,209.1,78.28,801.364,4682.262,4.36,0.0,0.0,0.0,0.0,0.0,109.94,879.644,17.684,500
std,1.8382661518098407,162.33884378176688,9.154124534437145,14.891511482333023,291.62266296553537,454.6235219314821,2411.4162926747344,4724.353751158792,4.963837160777675,0.0,0.0,0.0,0.0,0.0,162.33884378176688,2513.4772816468285,20.214980456823028,500
