0,100,200,300,400,500
10,229.494,500.947,748.644,889.98,810.23
20,261.535,533.265,812.443,950.55,1050.25
30,278.411,525.366,783.077,855.23,1100.23
40,258.073,520.677,772,900.25,1150.23
50,260.568,549.562,800,980.56,1082.25
