,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,3420.0,39026.0,4560.0,6840.0,167280.0,44139.0,3597966.0,2280.0,0.0,0.0,0.0,0.0,0.0,0.0,39026.0,44139.0,12540.0,272.0,500
mean,6.84,78.052,9.12,13.68,334.56,88.278,7195.932,4.56,0.0,0.0,0.0,0.0,0.0,0.0,78.052,88.278,25.08,0.544,500
std,7.478385688436377,112.37753653393044,9.971180917915168,14.956771376872753,306.6138132258914,771.600206371762,4105.263050866487,4.985590458957584,0.0,0.0,0.0,0.0,0.0,0.0,112.37753653393044,771.600206371762,27.420747524266716,0.4985590458957585,500
