,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,2985.0,39845.0,3980.0,5970.0,185115.0,32403.0,3755436.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,39845.0,32403.0,10945.0,301.0,500
mean,5.97,79.69,7.96,11.94,370.23,64.806,7510.872,3.98,0.0,0.0,0.0,0.0,0.0,0.0,79.69,64.806,21.89,0.602,500
std,7.349634975190066,123.21071243734708,9.79951330025342,14.699269950380131,301.33503398279265,631.6618507963758,4191.659075261542,4.89975665012671,0.0,0.0,0.0,0.0,0.0,0.0,123.21071243734708,631.6618507963758,26.948661575696907,0.489975665012671,500
