,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,499.0,0.0,0.0,0.0,0.0,349823.0,5085.0,0.0,6396.0,0.0,55364.0,0.0,14970.0,86757.0,0.0,0.0,0.0,0.0,338373.0,86757.0,0.0,55364.0,26451.0,169801.0,1309.853,1309.853,40
mean,12.475,0.0,0.0,0.0,0.0,8745.575,127.125,0.0,159.9,0.0,1384.1,0.0,374.25,2168.925,0.0,0.0,0.0,0.0,8459.325,2168.925,0.0,1384.1,661.275,4245.025,32.74632499999999,32.74632499999999,40
std,5.679416275531247,0.0,0.0,0.0,0.0,2591.1097700376595,52.51236118213575,0.0,65.87587395420853,0.0,1681.5604901552847,0.0,170.38248826593744,996.1437026263086,0.0,0.0,0.0,0.0,2748.5885085080604,996.1437026263086,0.0,1681.5604901552847,281.96226220487785,3956.0503450654305,16.7013998405899,16.7013998405899,40
