,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,3315.0,41345.0,4480.0,6690.0,169740.0,11632.0,737.0,3669851.0,2230.0,0.0,0.0,0.0,0.0,0.0,41345.0,12369.0,12235.0,278.0,500
mean,6.63,82.69,8.96,13.38,339.48,23.264,1.474,7339.702,4.46,0.0,0.0,0.0,0.0,0.0,82.69,24.738,24.47,0.556,500
std,7.456829662613629,114.87076427433546,9.955733688007783,14.92719807884152,306.13881090623937,49.21025912557678,20.631836305541913,4070.984011124788,4.975732692947173,0.0,0.0,0.0,0.0,0.0,114.87076427433546,61.24258865634813,27.27190153301476,0.49735170396297,500
