,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,270.0,32357.0,2194.0,2828.0,247845.0,20849.0,56780.0,897446.0,939.0,0.0,0.0,0.0,0.0,0.0,32357.0,77629.0,4037.0,406.0,500
mean,0.54,64.714,4.388,5.656,495.69,41.698,113.56,1794.892,1.878,0.0,0.0,0.0,0.0,0.0,64.714,155.258,8.074,0.812,500
std,2.797149995297426,158.6716155055285,9.288164296134298,11.730852048319385,243.43231602433136,130.33967799299887,403.53218315977153,1053.5281274682388,3.9071277550893027,0.0,0.0,0.0,0.0,0.0,158.6716155055285,475.99289691320365,16.92848697736113,0.39110346949074143,500
