,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,150.0,2486.0,180.0,300.0,2823.0,3824.0,9419.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.0,6647.0,550.0,10
mean,15.0,248.6,18.0,30.0,282.3,382.4,941.9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,248.6,664.7,55.0,10
std,0.0,190.8159089570655,4.216370213557839,0.0,203.79785736524974,878.5943571662889,1052.6877188099675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.8159089570655,1006.1329766321483,0.0,10
