,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,400.0,0.0,0.0,0.0,0.0,191194.0,4275.0,0.0,5476.0,0.0,57523.0,0.0,12000.0,71203.0,0.0,0.0,0.0,0.0,306299.0,71203.0,0.0,57523.0,21751.0,155822.0,1008.9619999999999,1008.9619999999999,30
mean,13.333333333333334,0.0,0.0,0.0,0.0,6373.133333333333,142.5,0.0,182.53333333333333,0.0,1917.4333333333334,0.0,400.0,2373.4333333333334,0.0,0.0,0.0,0.0,10209.966666666667,2373.4333333333334,0.0,1917.4333333333334,725.0333333333333,5194.066666666667,33.63206666666667,33.63206666666667,30
std,7.378128598038626,0.0,0.0,0.0,0.0,3676.760865812165,79.05421535577493,0.0,101.73079191173392,0.0,1933.3266788430858,0.0,221.34385794115875,1331.578054825159,0.0,0.0,0.0,0.0,5446.579011626019,1331.578054825159,0.0,1933.3266788430858,399.7026035246303,7997.334210733032,19.66417597444711,19.66417597444711,30
