0,100,200,300,400,500
10,73276,337287,82441,895622,142916
20,86311,311559,607858,918192,1239617
30,134484,374400,568072,900591,1168619
40,92057,305835,738007,885847,1179251
50,142360,291198,623038,917775,1154214
