0,100,200,300,400,500
10,77033,460327,599336,884946,126993
20,136771,408846,567412,752769,1239350
30,116336,316216,637717,902362,1168738
40,92390,259983,738486,885386,1180024
50,143905,321844,625092,920848,1144960
