,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,900.0,15227.0,1200.0,1800.0,24600.0,1587.0,671073.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,15227.0,1587.0,3300.0,100
mean,9.0,152.27,12.0,18.0,246.0,15.87,6710.73,6.0,0.0,0.0,0.0,0.0,0.0,0.0,152.27,15.87,33.0,100
std,7.385489458759964,160.6277995864975,9.84731927834662,14.770978917519928,302.8050678091585,24.07549363854029,4435.329213191952,4.92365963917331,0.0,0.0,0.0,0.0,0.0,0.0,160.6277995864975,24.07549363854029,27.0801280154532,100
