,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,300.0,0.0,0.0,0.0,0.0,237048.0,3194.0,0.0,11561.0,0.0,39115.0,0.0,8977.0,63454.0,0.0,0.0,0.0,0.0,284621.0,63454.0,0.0,39115.0,23732.0,158320.0,868.369,8061.0,80.61000000000001,102569.0,1025.69,121.11299999999999,24.222599999999996,96.89039999999999,391.15000000000015,471.76000000000005,23.588000000000005,73.30240000000002,30
mean,10.0,0.0,0.0,0.0,0.0,7901.6,106.46666666666667,0.0,385.3666666666667,0.0,1303.8333333333333,0.0,299.23333333333335,2115.133333333333,0.0,0.0,0.0,0.0,9487.366666666667,2115.133333333333,0.0,1303.8333333333333,791.0666666666667,5277.333333333333,28.945633333333333,268.7,2.6870000000000003,3418.9666666666667,34.18966666666667,4.0371,0.8074199999999999,3.2296799999999997,13.038333333333338,15.725333333333335,0.7862666666666668,2.443413333333334,30
std,4.982728791224398,0.0,0.0,0.0,0.0,3041.65777847859,53.02877119746076,0.0,261.06697295486475,0.0,1810.2948146895724,0.0,148.82660202821393,1084.1898209336277,0.0,0.0,0.0,0.0,3906.195304573398,1084.1898209336277,0.0,1810.2948146895724,430.8395119501823,5815.7368337589205,15.515375747466043,128.63585331710865,1.2863585331710865,2230.3225912229695,22.303225912229696,1.9298115121466637,0.38596230242933277,1.5438492097173309,18.102948146895727,18.069218392983508,0.9034609196491753,1.7816775525317148,30
