,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1500.0,26155.0,2191.0,3000.0,13045.0,122738.0,637508.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,26155.0,135783.0,5500.0,0.0,100
mean,15.0,261.55,21.91,30.0,130.45,1227.38,6375.08,10.0,0.0,0.0,0.0,0.0,0.0,0.0,261.55,1357.83,55.0,0.0,100
std,0.0,135.2595988863973,5.637348398821645,0.0,95.84260824683119,3371.1368306417185,4689.510167351913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.2595988863973,3389.8235765153017,0.0,0.0,100
