,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,4466.0,85095.0,6999.0,8929.0,23338.0,570009.0,1646357.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,85095.0,593347.0,16395.0,1.0,300
mean,14.886666666666667,283.65,23.33,29.763333333333332,77.79333333333334,1900.03,5487.856666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,283.65,1977.8233333333333,54.65,0.0033333333333333335,300
std,0.8303335080984785,157.7917878970867,6.713020842320649,1.848977541431466,82.35702492240185,3864.57891579683,4804.2294719186475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.7917878970867,3890.5849461058046,2.013541116065663,0.05773502691896258,300
