,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,7273.0,155216.0,12265.0,14770.0,81929.0,1193668.0,2424684.0,4980.0,0.0,0.0,0.0,0.0,0.0,0.0,155216.0,1275597.0,27023.0,2.0,500
mean,14.546,310.432,24.53,29.54,163.858,2387.336,4849.368,9.96,0.0,0.0,0.0,0.0,0.0,0.0,310.432,2551.194,54.046,0.004,500
std,2.120584295780534,175.62602990662154,7.3947592881621045,3.2670701698907507,761.3710906722312,4006.3770072913894,4780.997020454541,0.6318214912406723,0.0,0.0,0.0,0.0,0.0,0.0,175.62602990662154,4094.6116188207598,4.262889683878041,0.06318214912406725,500
