0,100,200,300,400,500
5,28.9,18.5,10.6,8.2,8.2
10,92,44.5,30,17,14.2
20,91,90.5,66.3,42.2,27.4
30,99.8,99.5,97.6,85.5,56.6
40,99,99.5,98.6,98,82.2
50,98,99,99.6,98,98
