0,100,200,300,400,500
5,43,21,19.33,8.25,9.8
10,82,36,26.67,16.25,17.8
20,97.5,90.5,62.25,36,34.2
30,99,98.7,98.33,75.5,43
40,98,98.5,99,98.5,82.2
50,99,99,99.6,98,99
