,100,200,300,400,500
10,0.641573568,0.655572178,0.684222706,0.717784317,0.717026593
20,0.745800313,0.798359078,0.81851082,0.837998059,0.873271861
30,0.738548347,0.790950559,0.896067807,0.9588572,0.975631951
40,0.744844986,0.860478368,0.93632749,0.97065434,1.003284357
50,0.71572016,0.81943781,0.94741189,1.013394966,1.035939415
