,100,200,300,400,500
10,0.745402272,0.720287512,0.706488448,0.737728889,0.764394359
20,0.774109503,0.827812999,0.837070929,0.841249027,0.867666237
30,0.786749601,0.850388807,0.95530712,0.976476865,0.970293252
40,0.772932912,0.952447492,0.962750342,0.982362453,1.019529957
50,0.79966542,0.951625315,0.999536245,1.038459275,1.052339958
