,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,298.0,0.0,0.0,0.0,0.0,159851.0,3330.0,0.0,4328.0,0.0,36023.0,0.0,8940.0,56506.0,0.0,0.0,0.0,0.0,153440.0,56506.0,0.0,36023.0,16598.0,44313.0,797.1669999999999,797.1669999999999,20
mean,14.9,0.0,0.0,0.0,0.0,7992.55,166.5,0.0,216.4,0.0,1801.15,0.0,447.0,2825.3,0.0,0.0,0.0,0.0,7672.0,2825.3,0.0,1801.15,829.9,2215.65,39.85835,39.85835,20
std,4.315211771347839,0.0,0.0,0.0,0.0,1488.124374930791,48.15271758194252,0.0,62.29674317752346,0.0,623.8410117127095,0.0,129.45635314043514,818.5285321201313,0.0,0.0,0.0,0.0,2647.8908786547754,818.5285321201313,0.0,623.8410117127095,235.17919259913057,3642.703352341211,13.2195647681959,13.2195647681959,20
