,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,400.0,0.0,0.0,0.0,0.0,237332.0,4246.0,0.0,14251.0,0.0,64046.0,0.0,11861.0,69011.0,0.0,0.0,0.0,0.0,247223.0,69011.0,0.0,64046.0,30358.0,83808.0,1000.6410000000002,6913.0,69.13,133057.0,1330.5700000000002,103.863,20.7726,83.09039999999999,640.46,709.59,35.479499999999994,47.61089999999999,30
mean,13.333333333333334,0.0,0.0,0.0,0.0,7911.066666666667,141.53333333333333,0.0,475.03333333333336,0.0,2134.866666666667,0.0,395.3666666666667,2300.366666666667,0.0,0.0,0.0,0.0,8240.766666666666,2300.366666666667,0.0,2134.866666666667,1011.9333333333333,2793.6,33.35470000000001,230.43333333333334,2.304333333333333,4435.233333333334,44.35233333333334,3.4621,0.69242,2.7696799999999997,21.348666666666666,23.653000000000002,1.1826499999999998,1.5870299999999995,30
std,4.451526923879377,0.0,0.0,0.0,0.0,2415.92525194562,45.66348675899055,0.0,270.49947202871965,0.0,2918.5780634829143,0.0,131.69831861658972,684.9584172293478,0.0,0.0,0.0,0.0,2440.9048447081136,684.9584172293478,0.0,2918.5780634829143,390.41038826389826,4785.450928920225,13.049353264857018,112.08607632416759,1.120860763241676,2803.911205285652,28.039112052856517,1.6812950488772962,0.3362590097754593,1.345036039101837,29.185780634829147,28.78377346401243,1.4391886732006216,2.2810751022648104,30
