,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,3000.0,56630.0,3560.0,6000.0,29188.0,306857.0,1062599.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,56630.0,336045.0,11000.0,200
mean,15.0,283.15,17.8,30.0,145.94,1534.285,5312.995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,283.15,1680.225,55.0,200
std,0.0,171.42681606543255,4.1528581911472635,0.0,160.4961728750492,3491.704392067422,4621.015115585247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.42681606543255,3581.194276579817,0.0,200
