,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,120.0,0.0,0.0,0.0,0.0,360416.0,1800.0,0.0,2247.0,0.0,5191.0,0.0,3600.0,26963.0,0.0,0.0,0.0,0.0,679733.0,26963.0,0.0,5191.0,7647.0,639932.0,270.19100000000003,13519.0,135.19,32154.0,321.54,203.10750000000004,40.621500000000005,162.48600000000002,51.910000000000004,187.1,9.354999999999999,153.13099999999997,50
mean,2.4,0.0,0.0,0.0,0.0,7208.32,36.0,0.0,44.94,0.0,103.82,0.0,72.0,539.26,0.0,0.0,0.0,0.0,13594.66,539.26,0.0,103.82,152.94,12798.64,5.4038200000000005,270.38,2.7037999999999998,643.08,6.4308000000000005,4.062150000000001,0.8124300000000001,3.2497200000000004,1.0382,3.742,0.18709999999999996,3.0626199999999995,50
std,1.7842851423995423,0.0,0.0,0.0,0.0,4834.854455906188,26.764277135993137,0.0,34.17924540311753,0.0,109.22859198086574,0.0,53.52855427198627,450.8384845858586,0.0,0.0,0.0,0.0,5257.096900459066,450.8384845858586,0.0,109.22859198086574,114.10171080296415,5718.9315855323875,4.516410212971884,123.28412347922507,1.2328412347922508,532.8875073692421,5.328875073692421,1.849696442966372,0.3699392885932744,1.4797571543730976,1.0922859198086574,1.5804132758392597,0.07902066379196299,1.423532266395598,50
