,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1635.0,24760.0,2180.0,3270.0,55965.0,15243.0,1461271.0,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,24760.0,15243.0,5995.0,91.0,200
mean,8.175,123.8,10.9,16.35,279.825,76.215,7306.355,5.45,0.0,0.0,0.0,0.0,0.0,0.0,123.8,76.215,29.975,0.455,200
std,7.4883074685618105,143.0139326241437,9.984409958082413,14.976614937123621,307.02060621103425,705.3879924370502,4276.305523888958,4.992204979041206,0.0,0.0,0.0,0.0,0.0,0.0,143.0139326241437,705.3879924370502,27.45712738472664,0.4992204979041207,200
