,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,100.0,0.0,0.0,0.0,0.0,232596.0,1290.0,0.0,3211.0,0.0,17955.0,0.0,2977.0,21878.0,0.0,0.0,0.0,0.0,368063.0,21878.0,0.0,17955.0,7478.0,320752.0,265.807,8346.0,83.46,39833.0,398.33,125.3865,25.0773,100.3092,179.55,263.01000000000005,13.150500000000001,87.1587,30
mean,3.3333333333333335,0.0,0.0,0.0,0.0,7753.2,43.0,0.0,107.03333333333333,0.0,598.5,0.0,99.23333333333333,729.2666666666667,0.0,0.0,0.0,0.0,12268.766666666666,729.2666666666667,0.0,598.5,249.26666666666668,10691.733333333334,8.860233333333333,278.2,2.7819999999999996,1327.7666666666667,13.277666666666667,4.17955,0.83591,3.34364,5.985,8.767000000000001,0.43835,2.90529,30
std,2.2793425145972632,0.0,0.0,0.0,0.0,4359.15809967143,28.33299526505546,0.0,118.1788484877267,0.0,1793.7689996590784,0.0,68.6247584423025,502.04072738576,0.0,0.0,0.0,0.0,4839.054493592113,502.04072738576,0.0,1793.7689996590784,201.57208573392907,5914.502444653826,6.8372784194485945,130.95548072163487,1.3095548072163488,1841.8979282688063,18.41897928268806,1.9641640423714177,0.39283280847428353,1.5713312338971341,17.937689996590784,17.616505025411392,0.8808252512705695,1.9564883827831734,30
