0,100,200,300,400,500
10,27748.75,58055,42676.75,29187.75,32439.75
20,26891,58464.5,86581.75,115434.75,142817.5
30,27440.25,58736.75,85658.75,117757.5,145005.25
40,25586.66667,57381,85289.75,119083.5,147543.75
50,27568,55322.5,86034,117530.5,150231
