0,100,200,300,400,500
10,43099.5,75367.75,83186,40109.25,42220
20,38202.25,71983,96469,131917.5,163832.75
30,33485.25,66380,91128.25,119652.75,152392.5
40,29513,57829,96472.5,125841,164523.75
50,38118.25,59450,87076,114942.75,137162.75
