,0,1,2,3,4
0,0.745,0.720,0.808,0.887,0.606
1,0.774,0.798,0.841,0.819,0.837
2,0.787,0.850,0.911,0.976,0.970
3,0.700,0.982,0.973,1.020,0.952
4,0.773,0.952,1.000,1.036,1.013
,,,,,
