0,100,200,300,400,500
10,1.342,1.388,1.238,1.127,1.649
20,1.292,1.253,1.189,1.222,1.195
30,1.271,1.176,1.097,1.024,1.031
40,1.429,1.018,1.028,0.981,1.050
50,1.294,1.051,1.000,0.965,0.987
