0,100,200,300,400,500
10,28260.25,56242.75,44403.5,36490.5,21564
20,25774.75,55780.75,88049.75,116364,128795.5
30,27574,56784.5,87613.75,115764.75,144318.75
40,28440,55804,85290.75,119350,147090
50,27976.5,57196.25,86212.5,111587.25,116905.75
