,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1080.0,18538.0,1440.0,2160.0,17220.0,9320.0,676432.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,18538.0,9320.0,3960.0,28.0,100
mean,10.8,185.38,14.4,21.6,172.2,93.2,6764.32,7.2,0.0,0.0,0.0,0.0,0.0,0.0,185.38,93.2,39.6,0.28,100
std,6.768912897813196,156.55203930355236,9.02521719708426,13.537825795626391,277.52542881034094,94.99548101958015,4414.504092354446,4.51260859854213,0.0,0.0,0.0,0.0,0.0,0.0,156.55203930355236,94.99548101958015,24.819347291981714,0.45126085985421294,100
