,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,200.0,0.0,0.0,0.0,0.0,388946.0,2400.0,0.0,2916.0,0.0,18567.0,0.0,6000.0,41208.0,0.0,0.0,0.0,0.0,403923.0,41208.0,0.0,18567.0,11316.0,332832.0,520.971,520.971,40
mean,5.0,0.0,0.0,0.0,0.0,9723.65,60.0,0.0,72.9,0.0,464.175,0.0,150.0,1030.2,0.0,0.0,0.0,0.0,10098.075,1030.2,0.0,464.175,282.9,8320.8,13.024275,13.024275,40
std,2.4178820993079553,0.0,0.0,0.0,0.0,3032.9482529591905,24.258226201879197,0.0,31.4339356061615,0.0,354.56089763001955,0.0,72.53646297923866,471.8944471285599,0.0,0.0,0.0,0.0,3274.1366557284405,471.8944471285599,0.0,354.56089763001955,123.82220504230435,3695.213440280652,7.2574111863366335,7.2574111863366335,40
