,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,135.0,15283.0,1267.0,1686.0,87945.0,6684.0,37512.0,337149.0,570.0,0.0,0.0,0.0,0.0,0.0,15283.0,44196.0,2391.0,200
mean,0.675,76.415,6.335,8.43,439.725,33.42,187.56,1685.745,2.85,0.0,0.0,0.0,0.0,0.0,76.415,220.98,11.955,200
std,3.11736504505337,155.41706824059742,10.500671191756599,13.491672473442767,278.31654617426517,84.65848388952143,525.2315272200725,1021.8098535732059,4.525472295516507,0.0,0.0,0.0,0.0,0.0,155.41706824059742,556.8818966658647,19.202255285257536,200
