,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,6948.0,143731.0,12021.0,14900.0,63707.0,1086047.0,2440817.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,143731.0,1149754.0,26848.0,1.0,500
mean,13.896,287.462,24.042,29.8,127.414,2172.094,4881.634,10.0,0.0,0.0,0.0,0.0,0.0,0.0,287.462,2299.508,53.696,0.002,500
std,3.5635068629546165,166.4630663568404,7.188852146927266,1.8500934277443302,133.601291963921,3871.4095682650923,4658.350411589741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.4630663568404,3892.8419102517414,3.9596643650399885,0.044721359549995794,500
