,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,2939.0,53978.0,4866.0,5967.0,13538.0,118845.0,251950.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,53978.0,132383.0,10906.0,0.0,200
mean,14.695,269.89,24.33,29.835,67.69,594.225,1259.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,269.89,661.915,54.53,0.0,200
std,1.4325628017314012,150.04105937205136,7.217448149376947,1.3479092315443246,83.08217098558748,998.6649351199786,1131.981864788944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.04105937205136,1010.0286964304853,1.941118156757198,0.0,200
