,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,1454.0,29526.0,2232.0,2938.0,10039.0,146202.0,607299.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,29526.0,156241.0,5392.0,0.0,100
mean,14.54,295.26,22.32,29.38,100.39,1462.02,6072.99,10.0,0.0,0.0,0.0,0.0,0.0,0.0,295.26,1562.41,53.92,0.0,100
std,2.2402200469118783,171.92531970467746,5.818604782605673,3.7030699794531654,101.32504900346979,3650.7969379882306,4658.0596417565985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.92531970467746,3685.4575476123077,4.26088623588468,0.0,100
