,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,645.0,8505.0,860.0,1290.0,35055.0,5765.0,173346.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,8505.0,5765.0,2365.0,100
mean,6.45,85.05,8.6,12.9,350.55,57.65,1733.46,4.3,0.0,0.0,0.0,0.0,0.0,0.0,85.05,57.65,23.65,100
std,7.463547779343645,120.19574733228988,9.95139703912486,14.92709555868729,306.00545895308943,100.29656781341781,1044.9852004171682,4.97569851956243,0.0,0.0,0.0,0.0,0.0,0.0,120.19574733228988,100.29656781341781,27.366341857593362,100
