,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE,nP
sum,3000.0,60682.0,4595.0,5964.0,17981.0,273380.0,1079876.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,60682.0,291361.0,10964.0,0.0,200
mean,15.0,303.41,22.975,29.82,89.905,1366.9,5399.38,10.0,0.0,0.0,0.0,0.0,0.0,0.0,303.41,1456.805,54.82,0.0,200
std,0.0,156.03092690474466,6.241728194520438,1.584345528528687,98.30409171156704,3147.114725502931,4466.510373905002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.03092690474466,3154.968637322317,1.584345528528687,0.0,200
