0,100,200,300,400,500
10,20.2087,19.2527,23.6603,18.0324,9.78
20,25.3843,40.1566,57.9413,35.8545,41.8399
30,82.7303,75.0273,89.7891,89.7891,76.8453
40,127.6931,115.231,121.7851,112.5787,107.355
50,144.6763,167.9899,137.1265,148.609,127.7113
