,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,300.0,0.0,0.0,0.0,0.0,95843.0,3117.0,0.0,11720.0,0.0,56156.0,0.0,8973.0,56173.0,0.0,0.0,0.0,0.0,199998.0,56173.0,0.0,56156.0,23810.0,63859.0,780.1829999999999,5244.0,52.44,112329.0,1123.29,78.8085,15.761700000000001,63.046800000000005,561.5600000000001,614.0,30.700000000000006,32.3468,20
mean,15.0,0.0,0.0,0.0,0.0,4792.15,155.85,0.0,586.0,0.0,2807.8,0.0,448.65,2808.65,0.0,0.0,0.0,0.0,9999.9,2808.65,0.0,2807.8,1190.5,3192.95,39.00914999999999,262.2,2.622,5616.45,56.1645,3.940425,0.788085,3.15234,28.078000000000003,30.7,1.5350000000000004,1.61734,20
std,8.32877068075665,0.0,0.0,0.0,0.0,2344.647460314214,87.9145967162989,0.0,308.7869304569943,0.0,3063.644726551419,0.0,248.91052609321287,1631.8058216202332,0.0,0.0,0.0,0.0,5805.919102179484,1631.8058216202332,0.0,3063.644726551419,630.2122867064633,9848.778216905357,21.583097310224765,158.3146766478246,1.5831467664782464,3756.6186710223446,37.56618671022344,2.375308834629388,0.47506176692587754,1.9002470677035104,30.636447265514185,30.772217476500657,1.5386108738250333,2.3083675896273763,20
