,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,570.0,8602.0,760.0,1140.0,38130.0,5991.0,180959.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,8602.0,5991.0,2090.0,100
mean,5.7,86.02,7.6,11.4,381.3,59.91,1809.59,3.8,0.0,0.0,0.0,0.0,0.0,0.0,86.02,59.91,20.9,100
std,7.31747596821845,125.46028225794178,9.756634624291268,14.6349519364369,300.0165146969564,110.74933887209467,986.9946843674979,4.878317312145634,0.0,0.0,0.0,0.0,0.0,0.0,125.46028225794178,110.74933887209467,26.83074521680098,100
