,100,200,300,400,500
10,1.173868002,1.398341948,1.53305935,1.518410199,1.71954526
20,1.163080551,1.500485412,1.507888462,1.558797463,1.611330377
30,1.135161523,1.443544841,1.5134721,1.58389826,1.56603456
40,1.203005364,1.361183096,1.465616583,1.539981856,1.647714442
50,1.367288643,1.360403746,1.439711306,1.550448284,1.652792004
