,100,200,300,400,500
10,1.112272284,1.400833042,0.83550888,0.94974481,1.438991834
20,1.252727106,1.524594209,1.543428746,1.574359525,2.175224933
30,1.179221135,1.45097684,1.531882754,1.508461838,1.690511452
40,1.295087894,1.410260298,1.467050817,1.519821431,1.675489641
50,1.244664837,1.362995445,1.518584771,1.457929058,1.679127797
