,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,100.0,0.0,0.0,0.0,0.0,239353.0,1320.0,0.0,2372.0,0.0,8825.0,0.0,2986.0,22164.0,0.0,0.0,0.0,0.0,370950.0,22164.0,0.0,8825.0,6678.0,333283.0,253.522,8169.0,81.69,30989.0,309.89,122.73,24.546,98.184,88.25,169.93999999999994,8.497,89.687,30
mean,3.3333333333333335,0.0,0.0,0.0,0.0,7978.433333333333,44.0,0.0,79.06666666666666,0.0,294.1666666666667,0.0,99.53333333333333,738.8,0.0,0.0,0.0,0.0,12365.0,738.8,0.0,294.1666666666667,222.6,11109.433333333332,8.450733333333334,272.3,2.723,1032.9666666666667,10.329666666666666,4.091,0.8181999999999999,3.2727999999999997,2.941666666666667,5.6646666666666645,0.28323333333333334,2.9895666666666667,30
std,2.0057388927143847,0.0,0.0,0.0,0.0,3933.800984424285,25.202627120859912,0.0,69.71910801916866,0.0,244.8049305528557,0.0,60.065902504483866,421.59429754698766,0.0,0.0,0.0,0.0,4357.936556959355,421.59429754698766,0.0,244.8049305528557,144.47756060108912,4848.279806447767,5.21595800658295,124.23868851584812,1.2423868851584812,576.9572674867239,5.76957267486724,1.8639179536479158,0.3727835907295832,1.4911343629183327,2.4480493055285573,2.5635491740585143,0.12817745870292574,1.4534346684327777,30
