,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,nV
sum,400.0,0.0,0.0,0.0,0.0,95170.0,4330.0,0.0,14237.0,0.0,47439.0,0.0,11918.0,76757.0,0.0,0.0,0.0,0.0,182129.0,76757.0,0.0,47439.0,30485.0,27448.0,1061.062,5211.0,52.110000000000014,124196.0,1241.96,78.28049999999999,15.656100000000002,62.62440000000001,474.39000000000004,526.5,26.325,36.2994,20
mean,20.0,0.0,0.0,0.0,0.0,4758.5,216.5,0.0,711.85,0.0,2371.95,0.0,595.9,3837.85,0.0,0.0,0.0,0.0,9106.45,3837.85,0.0,2371.95,1524.25,1372.4,53.05309999999999,260.55,2.6055000000000006,6209.8,62.098,3.9140249999999996,0.7828050000000001,3.1312200000000003,23.719500000000004,26.325,1.31625,1.81497,20
std,7.608859102526821,0.0,0.0,0.0,0.0,1774.2592079068113,79.16372109016923,0.0,322.9732390739127,0.0,974.0102925534205,0.0,225.99322300039282,1561.6433744448084,0.0,0.0,0.0,0.0,4418.803118194838,1561.6433744448084,0.0,974.0102925534205,596.3742091744252,7382.139701226267,21.94294726857764,147.61025317404363,1.4761025317404366,2472.0007579627522,24.720007579627524,2.213638891978307,0.44272777839566146,1.7709111135826459,9.740102925534206,10.1645231850268,0.5082261592513401,1.6601492992784526,20
